category,text,transformed_text
0,Do u still have plumbers tape and a wrench we could borrow?,u still plumbers tape wrench could borrow
0,When i have stuff to sell i.ll tell you,stuff sell tell
0,"Yeah, I'll leave in a couple minutes &amp; let you know when I get to mu",yeah leave couple minutes amp let know get mu
0,"Thats a bit weird, even ?- where is the do supposed to be happening? But good idea, sure they will be in pub!",thats bit weird even supposed happening good idea sure pub
0,So what u doing today?,u today
1,"URGENT!! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins",urgent 4 costa del sol holiday await collection call 09050090044 toclaim sae tc pobox334 stockport sk38xh max10mins
0,You unbelievable faglord,unbelievable faglord
1,Update_Now - 12Mths Half Price Orange line rental: 400mins...Call MobileUpd8 on 08000839402 or call2optout=J5Q,12mths half price orange line rental 400mins call mobileupd8 08000839402
0,Yo you guys ever figure out how much we need for alcohol? Jay and I are trying to figure out how much we can safely spend on weed,yo guys ever figure much need alcohol jay trying figure much safely spend weed
1,"Urgent! call 09066612661 from landline. Your complementary 4* Tenerife Holiday or £10,000 cash await collection SAE T&Cs PO Box 3 WA14 2PX 150ppm 18+ Sender: Hol Offer",urgent call 09066612661 landline complementary 4 tenerife holiday cash await collection sae cs po box 3 wa14 2px 150ppm sender hol offer
0,"Its good, we'll find a way",good find way
0,"Lemme know when I can swing by and pick up, I'm free basically any time after 1 all this semester",lem know swing pick free basically time 1 semester
0,Then cant get da laptop? My matric card wif ü lei... ,cant get da laptop matric card wif ü lei
0,Really good:)dhanush rocks once again:),really good dhanush rocks
0,So no messages. Had food?,messages food
0,That's y u haf 2 keep me busy...,u haf 2 keep busy
1,1000's of girls many local 2 u who r virgins 2 this & r ready 2 4fil ur every sexual need. Can u 4fil theirs? text CUTE to 69911(£1.50p. m),1000 girls many local 2 u r virgins 2 r ready 2 4fil ur every sexual need u 4fil text cute 69911
0,U r too much close to my heart. If u go away i will be shattered. Plz stay with me.,u r much close heart u go away shattered plz stay
0,Now thats going to ruin your thesis!,thats going ruin thesis
0,Shopping? Eh ger i toking abt syd leh...Haha,shopping eh ger toking abt syd leh haha
0,I send the print  outs da.,send print outs da
0,Why nothing. Ok anyway give me treat,nothing ok anyway give treat
0,"K I'm ready,  &lt;#&gt; ?",k ready lt gt
0,Sorry da thangam.it's my mistake.,sorry da mistake
0,"When you just put in the + sign, choose my number and the pin will show. Right?",put sign choose number pin show right
0,Ok lor... But buy wat?,ok lor buy wat
0,No objection. My bf not coming.,objection bf coming
0,Yeah my usual guy's out of town but there're definitely people around I know,yeah usual guy town definitely people around know
0,i am seeking a lady in the street and a freak in the sheets. Is that you?,seeking lady street freak sheets
0,From someone not to smoke when every time I've smoked in the last two weeks is because of you calling or texting me that you wanted to smoke,someone smoke every time smoked last two weeks calling texting wanted smoke
0,Idea will soon get converted to live:),idea soon get converted live
0,I accidentally deleted the message. Resend please.,accidentally deleted message resend please
0,I probably won't eat at all today. I think I'm gonna pop. How was your weekend? Did u miss me?,probably wo eat today think gon na pop weekend u miss
1,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,free entry 2 wkly comp win fa cup final tkts 21st may text fa 87121 receive entry question std txt rate c apply 08452810075over18
0,Not a lot has happened here. Feels very quiet. Beth is at her aunts and charlie is working lots. Just me and helen in at the mo. How have you been? ,lot happened feels quiet beth aunts charlie working lots helen mo
0,Thank you baby! I cant wait to taste the real thing...,thank baby cant wait taste real thing
0,Wat ü doing now?,wat ü
0,:-( sad puppy noise,sad puppy noise
0,Still i have not checked it da. . .,still checked da
0,What happen to her tell the truth,happen tell truth
0,Hey we can go jazz power yoga hip hop kb and yogasana ,hey go jazz power yoga hip hop kb yogasana
0,Yunny i'm walking in citylink now ü faster come down... Me very hungry...,yunny walking citylink ü faster come hungry
1,I am hot n horny and willing I live local to you - text a reply to hear strt back from me 150p per msg Netcollex LtdHelpDesk: 02085076972 reply Stop to end,hot n horny willing live local text reply hear strt back 150p per msg netcollex ltdhelpdesk 02085076972 reply stop end
1,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",urgent 1 week free membership prize jackpot txt word claim 81010 c lccltd pobox 4403ldnw1a7rw18
0,Is ur paper today in e morn or aft?,ur paper today e morn aft
1,URGENT! We are trying to contact U Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050000460 from land line. Claim J89. po box245c2150pm,urgent trying contact u todays draw shows prize guaranteed call 09050000460 land line claim j89 po box245c2150pm
0,You best watch what you say cause I get drunk as a motherfucker,best watch say cause get drunk motherfucker
0,Maybe i could get book out tomo then return it immediately ..? Or something.,maybe could get book tomo return immediately something
0,"Just gettin a bit arty with my collages at the mo, well tryin 2 ne way! Got a roast in a min lovely i shall enjoy that!",gettin bit arty collages mo well tryin 2 ne way got roast min lovely shall enjoy
0,"Mmmmmm ... I love you,so much, Ahmad ... I can't wait for this year to begin as every second takes me closer to being at your side. Happy New Year, my love!!",mmmmmm love much ahmad ca wait year begin every second takes closer side happy new year love
0,X2  &lt;#&gt; . Are you going to get that,x2 lt gt going get
0,If u laugh really loud.. If u talk spontaneously.. If u dont care what others feel.. U are probably with your dear &amp; best friends.. GOODEVENING Dear..:),u laugh really loud u talk spontaneously u dont care others feel u probably dear amp best friends goodevening dear
0,I love u 2 babe! R u sure everything is alrite. Is he being an idiot? Txt bak girlie,love u 2 babe r u sure everything alrite idiot txt bak girlie
0,soon you will have the real thing princess! Do i make you wet? :),soon real thing princess make wet
0,Infact happy new year. How are you where are you when are we seeing,infact happy new year seeing
0,"Painful words- ""I thought being Happy was the most toughest thing on Earth... But, the toughest is acting Happy with all unspoken pain inside..""",painful thought happy toughest thing earth toughest acting happy unspoken pain inside
0,"Hello. No news on job, they are making me wait a fifth week! Yeah im up for some woozles and weasels... In exeter still, but be home about 3. ",hello news job making wait fifth week yeah im woozles weasels exeter still home 3
0,Hi im having the most relaxing time ever! we have to get up at 7am every day! was the party good the other night? I get home tomorrow at 5ish.,hi im relaxing time ever get 7am every day party good night get home tomorrow 5ish
1,Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com,bloomberg center wait apply future http
0,Meeting u is my work. . . Tel me when shall i do my work tomorrow,meeting u work tel shall work tomorrow
0,I taught that Ranjith sir called me. So only i sms like that. Becaus hes verifying about project. Prabu told today so only pa dont mistake me..,taught ranjith sir called sms like becaus hes verifying project prabu told today pa dont mistake
0,I always chat with you. In fact i need money can you raise me?,always chat fact need money raise
0,I am in tirupur.  call you da.,tirupur call da
1,GSOH? Good with SPAM the ladies?U could b a male gigolo? 2 join the uk's fastest growing mens club reply ONCALL. mjzgroup. 08714342399.2stop reply STOP. msg@£1.50rcvd,gsoh good spam ladies u could b male gigolo 2 join uk fastest growing mens club reply oncall mjzgroup reply stop msg
0,"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop",know thinkin malaria relax children cant handle malaria would worse gastroenteritis takes enough replace loss temp reduce give malaria meds vomit self limiting illness means days completely stop
0,I will see in half an hour,see half hour
0,I am in escape theatre now. . Going to watch KAVALAN in a few minutes,escape theatre going watch kavalan minutes
0,"That's fine, I'll bitch at you about it later then",fine bitch later
0,They did't play one day last year know even though they have very good team.. Like india.,play one day last year know even though good team like india
0,Ok lor. Anyway i thk we cant get tickets now cos like quite late already. U wan 2 go look 4 ur frens a not? Darren is wif them now...,ok lor anyway thk cant get tickets cos like quite late already u wan 2 go look 4 ur frens darren wif
0,Gimme a few was  &lt;#&gt;  minutes ago,gim lt gt minutes ago
0,Pete can you please ring meive hardly gotany credit,pete please ring meive hardly gotany credit
0,Tomorrow i am not going to theatre. . . So i can come wherever u call me. . . Tell me where and when to come tomorrow,tomorrow going theatre come wherever u call tell come tomorrow
0,"Not really dude, have no friends i'm afraid :(",really dude friends afraid
0,Babe ! What are you doing ? Where are you ? Who are you talking to ? Do you think of me ? Are you being a good boy? Are you missing me? Do you love me ?,babe talking think good boy missing love
0,Ok i juz receive..,ok juz receive
0,Dont show yourself. How far. Put new pictures up on facebook.,dont show far put new pictures facebook
0,Oh thanks a lot..i already bought 2 eggs ..,oh thanks lot already bought 2 eggs
0,So dont use hook up any how,dont use hook
0,Happy birthday... May u find ur prince charming soon n dun work too hard...,happy birthday may u find ur prince charming soon n dun work hard
0,Finish already... Yar they keep saying i mushy... I so embarrassed ok...,finish already yar keep saying mushy embarrassed ok
1,PRIVATE! Your 2003 Account Statement for <fone no> shows 800 un-redeemed S. I. M. points. Call 08715203656 Identifier Code: 42049 Expires 26/10/04,private 2003 account statement fone shows 800 points call 08715203656 identifier code 42049 expires
0,How are you babes. Hope your doing ok. I had a shit nights sleep. I fell asleep at 5.Im knackered and im dreading work tonight. What are thou upto tonight. X,babes hope shit nights sleep fell asleep knackered dreading work tonight thou upto tonight x
0,Thanx 4 2day! U r a goodmate I THINK UR RITE SARY! ASUSUAL!1 U CHEERED ME UP! LOVE U FRANYxxxxx,thanx 4 2day u r goodmate think ur rite sary asusual 1 u cheered love u franyxxxxx
0,So there's a ring that comes with the guys costumes. It's there so they can gift their future yowifes. Hint hint,ring comes guys costumes gift future yowifes hint hint
1,Promotion Number: 8714714 - UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 £1.50perWKsub,promotion number 8714714 ur awarded city break could win summer shopping spree every wk txt store 88039 skilgme tscs087147403231winawk age16
0,He says hi and to get your ass back to south tampa (preferably at a kegger),says hi get ass back south tampa preferably kegger
0,"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy!",thank much skyped wit kz sura didnt get pleasure company hope good given ultimatum oh countin aburo enjoy
0,Our ride equally uneventful - not too many of those pesky cyclists around at that time of night ;).,ride equally uneventful many pesky cyclists around time night
0,Pls ask macho how much is budget for bb bold 2 is cos i saw a new one for  &lt;#&gt;  dollars.,pls ask macho much budget bb bold 2 cos saw new one lt gt dollars
0,Old Orchard near univ. How about you?,old orchard near univ
0,"Good morning, my Love ... I go to sleep now and wish you a great day full of feeling better and opportunity ... You are my last thought babe, I LOVE YOU *kiss*",good morning love go sleep wish great day full feeling better opportunity last thought babe love kiss
0,"I'm home, my love ... If your still awake ... *loving kiss*",home love still awake loving kiss
0,If he started searching he will get job in few days.he have great potential and talent.,started searching get job great potential talent
0,All day working day:)except saturday and sunday..,day working day except saturday sunday
0,Saw Guys and Dolls last night with Patrick Swayze it was great,saw guys dolls last night patrick swayze great
0,How much is torch in 9ja.,much torch 9ja
0,Ok... Help me ask if she's working tmr a not?,ok help ask working tmr
0,I know a few people I can hit up and fuck to the yes,know people hit fuck yes
1,Moby Pub Quiz.Win a £100 High Street prize if u know who the new Duchess of Cornwall will be? Txt her first name to 82277.unsub STOP £1.50 008704050406 SP Arrow,moby pub high street prize u know new duchess cornwall txt first name stop 008704050406 sp arrow
0,"I need an 8th but I'm off campus atm, could I pick up in an hour or two?",need 8th campus atm could pick hour two
0,I can do that! I want to please you both inside and outside the bedroom...,want please inside outside bedroom
1,Hi its LUCY Hubby at meetins all day Fri & I will B alone at hotel U fancy cumin over? Pls leave msg 2day 09099726395 Lucy x Calls£1/minMobsmoreLKPOBOX177HP51FL,hi lucy hubby meetins day fri b alone hotel u fancy cumin pls leave msg 2day 09099726395 lucy x
0,What Today-sunday..sunday is holiday..so no work..,sunday holiday work
1,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09058094454 from land line. Claim 3030. Valid 12hrs only,urgent mobile number awarded prize guaranteed call 09058094454 land line claim valid 12hrs
0,"Faith makes things possible,Hope makes things work,Love makes things beautiful,May you have all three this Christmas!Merry Christmas!",faith makes things possible hope makes things work love makes things beautiful may three christmas merry christmas
0,Ü wait 4 me in sch i finish ard 5..,ü wait 4 sch finish ard 5
0,Xy trying smth now. U eat already? We havent...,xy trying smth u eat already havent
0,"Rose needs water, season needs change, poet needs imagination..My phone needs ur sms and i need ur lovely frndship forever....",rose needs water season needs change poet needs imagination phone needs ur sms need ur lovely frndship forever
0,Yes baby! We can study all the positions of the kama sutra ;),yes baby study positions kama sutra
0,Bishan lar nearer... No need buy so early cos if buy now i gotta park my car...,bishan lar nearer need buy early cos buy got ta park car
0,"I'd say that's a good sign but, well, you know my track record at reading women",say good sign well know track record reading women
0,Ok cool. See ya then.,ok cool see ya
1,"09066362231 URGENT! Your mobile No 07xxxxxxxxx won a £2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP!",09066362231 urgent mobile 07xxxxxxxxx bonus caller prize 2nd attempt reach call 09066362231 asap
0,Hey check it da. I have listed da.,hey check da listed da
0,Am I the only one who doesn't stalk profiles?,one stalk profiles
0,"Hey, iouri gave me your number, I'm wylie, ryan's friend",hey iouri gave number wylie ryan friend
0,I place all ur points on e cultures module already.,place ur points e cultures module already
0,Where can download clear movies. Dvd copies.,download clear movies dvd copies
0,Thanks for being there for me just to talk to on saturday. You are very dear to me. I cherish having you as a brother and role model.,thanks talk saturday dear cherish brother role model
0,In work now. Going have in few min.,work going min
0,They said ü dun haf passport or smth like dat.. Or ü juz send to my email account..  ,said ü dun haf passport smth like dat ü juz send email account
0,Cos i want it to be your thing,cos want thing
0,IM GONNAMISSU SO MUCH!!I WOULD SAY IL SEND U A POSTCARD BUTTHERES ABOUTAS MUCH CHANCE OF MEREMEMBERIN ASTHERE IS OFSI NOT BREAKIN HIS CONTRACT!! LUV Yaxx,im gonnamissu much would say il send u postcard buttheres aboutas much chance merememberin asthere ofsi breakin contract luv yaxx
0,Boo. How's things? I'm back at home and a little bored already :-(,boo things back home little bored already
0,I got lousy sleep. I kept waking up every 2 hours to see if my cat wanted to come in. I worry about him when its cold :(,got lousy sleep kept waking every 2 hours see cat wanted come worry cold
